server_name,server_name_rule_file,source_id,server_main_page_link,is_active_2026,scope_group,ownership_group,submission_group,researcher_can_submit,is_preprint_only,platform_model,review_type_group,versioning_available,publication_status_tracking,can_identify_peer_reviewed_version,has_medical_warning,has_server_statistics,has_preprint_metrics,raw_disciplinary_scope,raw_ownership_type,raw_submission_text,raw_screening_processes,raw_external_content_indexing,raw_permanence,raw_charges,raw_self_definition,raw_platform_model,raw_versioning,raw_publication_status,platform_type_group,screening_level,has_warning_label,has_non_peer_review_notice,indexed_google_scholar,indexed_crossref,indexed_europe_pmc,indexed_pubmed_pathway,indexing_group,permanence_group,charges_group
Advance: a SAGE Preprints Community,Advance,Advance,https://advance.sagepub.com/,No,Social sciences,Publisher,Not active,Unknown,Yes,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,Humanities and Social Sciences,Publisher,Not Active,"Content within scope, scholarly nature, manuscript is complete, legal and ethical compliance (via author declaration), no confidential or harmful material","Google Scholar, CrossRef",Permanent with some removal options in exceptional circumstances,,preprints community,No,,,Other / unclear,Strong screening,Yes,Yes,Yes,Yes,No,No,Selectively indexed,Permanent with limited removal exceptions,Unknown
AfricArxiv,AfricArXiv,AfricArXiv,https://africarxiv.ubuntunet.net/home,Yes,Multidisciplinary,Academic community group,Researcher (specific eligibility),Yes,No,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,No,All scientific fields,Academic community group,Researcher (specific),,"Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with some removal options in exceptional circumstances,,community-led digital archive,No,"We also provide options to link data and code, and for article versioning.",,Community archive,Basic screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with limited removal exceptions,Unknown
AgEcon Search,"AgEcon Search (University of Minnesota, USA)",AgEcon Search,https://ageconsearch.umn.edu/?ln=en,No,Economics & business,Academic institution,Organization / institution,No,No,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,Relating to agricultural & applied economics,Academic institution,"Organizations, not individual researchers",,,Permanent with some removal options in special circumstances,"There are no costs for posting papers for groups who designate someone to fill out the submission forms and upload papers.

There is a small charge per paper for groups that have each author submit their own papers, or have staff at the University of Minnesota assist with the process. Charges are from 1 to 5 USD per paper depending on how much extra processing is involved, for example adding conference cover pages, or splitting journal issues into individual articles prior to uploading.

If your group has older papers that need to be digitized and uploaded, the coordinators can help you with that process, or arrange to have it done for a fee.",,No,,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Permanent with limited removal exceptions,Some fees
AgriRxiv (formerly AgriXiv),AgriRxiv,AgriRxiv,https://www.cabidigitallibrary.org/journal/agrirxiv,Yes,Life sciences & biomedicine,Academic community group,Researcher,Yes,Yes,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Yes,No,"Relating to agriculture and allied sciences, including life sciences, social and behavioural sciences",Academic community group,Researcher,"Content within scope, no inappropriate material, basic format and quality checks","Google Scholar, Crossref, Researcher-app; Preprints deposited in agriRxiv are indexed in Europe PMC, Google Scholar, and CAB Abstracts.",Permanent with withdrawal marking; articles cannot be removed but may be labeled ‘Withdrawn’ at author’s request,There is no fee to submit articles to agriRxiv,source of unpublished preprints,No,,,Other / unclear,Basic screening,No,No,Yes,Yes,Yes,No,Broadly indexed,Permanent with withdrawal marking,Free
AIJR Preprints,AIJR Preprints,AIJR Preprints,https://preprints.aijr.org/index.php/ap,Yes,Multidisciplinary,Publisher,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,No,No,No,All scientific fields,Publishing organisation (publisher),Researcher,"Content within scope, manuscript is complete (structure, references), ethical compliance, metadata complete, basic article quality, formatting and citation checks","Europe PMC
    Google Scholar
    CORE
    CrossRef
    Scilit
    OUCI
    BASE",Permanent with withdrawal marking; articles cannot be removed but may be labeled ‘Withdrawn’ at author’s request,"There is no fee for submitting and publishing in AIJR Preprints, approved articles will get published on a dedicated article URL.",preprint server,No,"The latest version of the article will automatically get updated at the same URL. (Updated on July 2021). `| The author may submit the article for peer-reviewing to any scholarly publication and when it gets accepted/published, the author should update with DOI of the peer-reviewed version.",,Preprint server,Strong screening,Yes,Yes,Yes,Yes,Yes,No,Broadly indexed,Permanent with withdrawal marking,Free
AMRC Open Research,AMRC Open Research,AMRC Open Research,https://healthopenresearch.org/,Yes,Multidisciplinary,Funder,Researcher,Yes,No,Hybrid / mixed,None,Yes,Unknown,Unknown,No,Unknown,No,"Broad life & biomedical research, including basic scientific, translational, applied and clinical research",Funding organisation (funder); Membership organisation,Researcher,"Content within scope, Author affiliation verification, Text overlap detection, Basic suitability for peer review, Formatting check, Manuscript is complete (methods), Data is available (if applicable), Code is available (if applicable), Ethical & legal compliance, Reporting standards compliance","Google Scholar, Prepubmed, Europe PMC, SciLit",Permanent with some removal options in special circumstances,"yes | APCs in Health Open Research are based on article type. This is in recognition of the varying editorial time and effort involved in publishing different article types. APCs are payable upon acceptance of the article, regardless of the peer review outcome.",publishing venue,Yes,yes,,Publishing venue / platform,Strong screening,No,No,Yes,No,Yes,Yes,Broadly indexed,Permanent with limited removal exceptions,APC / publication charges
APSA Preprints,APSA Preprints,APSA Preprints,https://preprints.apsanet.org/engage/apsa/public-dashboard,Yes,Social sciences,Scientific society,Researcher,Yes,No,Preprint only,None,Yes,Unknown,Unknown,Unknown,No,No,Relating to political science,Scientific society,Researcher,"Content within scope, scholarly nature, text overlap detection, legal and ethical compliance, not previously published, language requirement (English only), no inappropriate, confidential, or harmful material",,Permanent with some removal options in special circumstances,,,No,yes,,Prepublication platform,Strong screening,Yes,Yes,No,No,No,No,Minimal / unclear indexing,Permanent with limited removal exceptions,Unknown
Arabixiv,Arabixiv,Arabixiv,https://arabixiv.org/,No,Multidisciplinary,Academic community group,Not active,Unknown,Yes,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Yes,Yes,All scientific fields,Academic community group,Not Active,"Akismet spam filtering (automatic on all OSF content), Content within scope","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,,No,,,Preprint server,Basic screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
ARPHA Preprints,ARPHA proceedings,ARPHA Preprints,https://preprints.arphahub.com/,Yes,Multidisciplinary,Publisher,No direct submission,No,Yes,Preprint only,Single-blind,Unknown,Unknown,Unknown,Unknown,Unknown,No,All scientific fields,Owned by publisher and technology provider,"No direct submission - authors submit to journals, and preprints are posted here","Content within scope, no offensive language, pseudoscience, plagiarism, or other unethical content","Google Scholar, Microsoft Academic, Unpaywall",Permanent with some removal options in exceptional circumstances,No publication charges,preprint platform,No,,,Other / unclear,Strong screening,Yes,Yes,Yes,No,No,No,Selectively indexed,Permanent with limited removal exceptions,Unknown
ART-Dok,ART-Dok,ART-Dok,https://archiv.ub.uni-heidelberg.de/artdok/?source_opus=&la=en,Yes,Humanities & arts,Academic institution,Researcher (specific eligibility),Yes,No,Preprint only,None,Yes,Unknown,Unknown,Unknown,Unknown,No,"Art, Photography and Design",Academic institution,Researcher (specific),,,,no,publication platform,No,yes,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
