server_name,n_records,n_unique,n_is_version_of,n_published,pct_published,collection_date,count_2024,count_2025,versioned_2024,versioned_2025,published_2024,published_2025
AIJR Preprints,143,143,9,1,0.6993006993006993,2026-05-14,6,4,1,0,0,0
AMRC Open Research,101,71,28,0,0.0,2026-05-14,16,4,4,2,0,0
APSA Preprints,1470,1171,263,164,14.005123825789923,2026-05-14,136,200,32,32,16,4
ARPHA Preprints,890,869,39,315,36.24856156501726,2026-05-14,178,208,4,2,28,11
ART-Dok,9653,9532,106,3,0.03147293327738145,2026-05-14,562,485,2,5,0,0
Advance,4400,2441,1789,162,6.636624334289226,2026-05-14,395,321,85,24,0,0
AfricArXiv,2190,1675,533,80,4.776119402985075,2026-05-14,929,210,38,10,1,2
AgEcon Search,188173,172835,27406,52,0.030086498683715684,2026-05-14,7987,8924,196,448,0,0
AgriRxiv,858,806,134,25,3.101736972704715,2026-05-14,66,90,3,6,1,2
Arabixiv,584,496,113,217,43.75,2026-05-14,0,0,0,0,0,0
Authorea Inc.,61903,58897,6215,803,1.363397117000866,2026-05-14,13009,10830,594,624,53,45
Beilstein Archives,697,697,10,461,66.14060258249641,2026-05-14,72,65,0,1,56,46
BioHackrXiv,139,136,4,0,0.0,2026-05-14,35,41,0,3,0,0
BodoArXiv,165,157,18,47,29.936305732484076,2026-05-14,9,28,1,4,2,3
CERN document server,2630,2115,1682,1351,63.87706855791963,2026-05-14,77,291,57,261,63,261
Cambridge Open Engage,3090,2135,705,187,8.758782201405152,2026-05-14,396,585,89,124,24,14
ChemRxiv,46475,36435,8340,17027,46.732537395361604,2026-05-14,6854,7855,1535,1306,1256,673
CoP,30,29,1,5,17.24137931034483,2026-05-14,9,7,0,1,1,0
CogPrints,1498,1496,26,2,0.1336898395721925,2026-05-14,0,0,0,0,0,0
Covid-19 Preprints,647,294,32,0,0.0,2026-05-14,32,27,3,4,0,0
CrimRxiv,2832,2718,275,28,1.030169242089772,2026-05-14,345,483,14,17,0,0
CrossAsia-Repository,479,459,4,0,0.0,2026-05-14,280,31,3,0,0,0
DSpace@MIT,11324,11233,1068,600,5.341404789459628,2026-05-14,0,13,0,0,0,0
Digital Access to Scholarship at Harvard (DASH) (Harvard University),9549,9534,310,36,0.3775959723096287,2026-05-14,1233,666,0,2,0,1
E-LIS Repository,8864,8801,83,5,0.056811725940234065,2026-05-14,81,55,1,1,1,0
ECSarXiv,326,302,37,24,7.9470198675496695,2026-05-14,20,14,3,3,3,0
EGUsphere,10458,10379,310,8258,79.56450525098757,2026-05-14,2854,4222,40,37,2586,2667
ELPUB (Universitat Wuppertal),41,41,0,1,2.4390243902439024,2026-05-14,34,7,0,0,1,0
Earth and Space Science Open Archive,22747,19549,3164,8495,43.45490817944652,2026-05-14,2482,3203,348,310,1296,1160
EarthArXiv,6799,6480,760,1436,22.160493827160494,2026-05-14,854,1112,22,30,141,128
EasyChair preprint,620,618,79,14,2.26537216828479,2026-05-14,0,0,0,0,0,0
EcoEvoRxiv,2886,2842,121,59,2.0760028149190712,2026-05-14,579,845,15,15,14,20
EconStor Preprints,64676,64206,7050,9,0.014017381553125876,2026-05-14,136,625,2,2,0,0
EdArXiv,2547,2321,410,291,12.537699267557088,2026-05-14,271,515,28,96,13,25
Electron Colloquium Comput Complex,141,140,31,5,3.571428571428571,2026-05-14,0,0,0,0,0,0
EmeRI,8,8,0,0,0.0,2026-05-14,0,0,0,0,0,0
Encyclopedia,166,161,6,0,0.0,2026-05-14,0,0,0,0,0,0
EnerarXiv,204,203,16,3,1.477832512315271,2026-05-14,0,0,0,0,0,0
F1000Research,16866,11052,4644,155,1.402461093014839,2026-05-14,1207,1027,522,256,1,0
FocUS Archive,83,80,37,3,3.75,2026-05-14,10,8,0,0,1,1
Frenxiv,179,171,83,68,39.76608187134503,2026-05-14,0,0,0,0,0,0
Gates Open Research,862,541,305,6,1.1090573012939002,2026-05-14,39,3,23,1,0,0
HAL,1056410,1037978,27995,2450,0.23603583120258811,2026-05-14,4731,3414,181,334,20,7
HANS Publication PrePrints,75,75,0,0,0.0,2026-05-14,0,0,0,0,0,0
HRB Open Research,1012,654,312,4,0.6116207951070336,2026-05-14,76,124,35,24,0,0
Humanities Commons CORE,29570,16957,11659,8049,47.46712272217963,2026-05-14,2939,1392,1320,1338,437,1386
IACR Cryptology ePrint Archive,10569,10447,251,15,0.14358188953766632,2026-05-14,0,0,0,0,0,0
INA-Rxiv,17837,15346,4314,1341,8.738433468004692,2026-05-14,0,0,0,0,0,0
IndiaRxiv,142,139,43,18,12.949640287769784,2026-05-14,2,1,0,0,0,0
JMIR Preprints,37631,36608,2102,24429,66.73131555944056,2026-05-14,5081,4642,117,90,3076,959
