server_name,year,count
AIJR Preprints,2020,71
AIJR Preprints,2021,25
AIJR Preprints,2022,19
AIJR Preprints,2023,16
AIJR Preprints,2024,6
AIJR Preprints,2025,4
AMRC Open Research,2019,7
AMRC Open Research,2020,6
AMRC Open Research,2021,13
AMRC Open Research,2022,1
APSA Preprints,2019,75
APSA Preprints,2020,264
APSA Preprints,2021,105
APSA Preprints,2022,180
APSA Preprints,2023,179
APSA Preprints,2024,136
APSA Preprints,2025,201
ARPHA Preprints,2020,15
ARPHA Preprints,2021,116
ARPHA Preprints,2022,154
ARPHA Preprints,2023,184
ARPHA Preprints,2024,178
ARPHA Preprints,2025,208
ART-Dok,2016,571
ART-Dok,2017,4774
ART-Dok,2018,673
ART-Dok,2019,478
ART-Dok,2020,457
ART-Dok,2021,455
ART-Dok,2022,427
ART-Dok,2023,647
ART-Dok,2024,562
ART-Dok,2025,485
Advance,2018,85
Advance,2019,304
Advance,2020,446
Advance,2021,376
Advance,2022,213
Advance,2023,198
Advance,2024,395
Advance,2025,321
AfricArXiv,2018,30
AfricArXiv,2019,56
AfricArXiv,2020,100
AfricArXiv,2021,100
AfricArXiv,2022,104
AfricArXiv,2023,58
AfricArXiv,2024,929
AfricArXiv,2025,206
AgEcon Search,2019,109399
AgEcon Search,2020,8560
AgEcon Search,2021,7338
AgEcon Search,2022,7944
AgEcon Search,2023,3137
AgEcon Search,2024,7987
AgEcon Search,2025,8921
AgriRxiv,2017,31
AgriRxiv,2018,60
AgriRxiv,2019,177
AgriRxiv,2020,169
AgriRxiv,2021,85
AgriRxiv,2022,46
AgriRxiv,2023,55
AgriRxiv,2024,66
AgriRxiv,2025,90
Arabixiv,2018,143
Arabixiv,2019,237
Arabixiv,2020,91
Authorea Inc.,2015,1
Authorea Inc.,2017,1
Authorea Inc.,2018,1
Authorea Inc.,2019,1
Authorea Inc.,2020,8272
Authorea Inc.,2021,6799
Authorea Inc.,2022,8262
Authorea Inc.,2023,9103
Authorea Inc.,2024,13019
Authorea Inc.,2025,10848
Beilstein Archives,2019,161
Beilstein Archives,2020,145
Beilstein Archives,2021,92
Beilstein Archives,2022,92
Beilstein Archives,2023,68
Beilstein Archives,2024,72
Beilstein Archives,2025,65
Bepress Legal Repository,2010,1
Bepress Legal Repository,2011,3
Bepress Legal Repository,2018,1
BioHackrXiv,2020,10
BioHackrXiv,2021,11
BioHackrXiv,2022,10
BioHackrXiv,2023,29
BioHackrXiv,2024,35
BioHackrXiv,2025,41
BodoArXiv,2019,39
BodoArXiv,2020,29
BodoArXiv,2021,15
BodoArXiv,2022,26
BodoArXiv,2023,5
BodoArXiv,2024,9
BodoArXiv,2025,28
CERN document server,2015,2
CERN document server,2016,3
CERN document server,2017,1
CERN document server,2018,1
CERN document server,2019,1
CERN document server,2020,2
CERN document server,2021,2
CERN document server,2022,1
CERN document server,2023,34
CERN document server,2024,58
CERN document server,2025,339
Cambridge Open Engage,2020,215
Cambridge Open Engage,2021,268
Cambridge Open Engage,2022,202
Cambridge Open Engage,2023,221
Cambridge Open Engage,2024,397
Cambridge Open Engage,2025,590
ChemRxiv,2017,151
ChemRxiv,2018,872
ChemRxiv,2019,2282
ChemRxiv,2020,3824
ChemRxiv,2021,4032
ChemRxiv,2022,4677
ChemRxiv,2023,5664
ChemRxiv,2024,6865
ChemRxiv,2025,7862
CoP,2022,4
CoP,2023,9
CoP,2024,9
CoP,2025,7
CogPrints,1990,8
CogPrints,1991,15
CogPrints,1992,10
CogPrints,1993,25
CogPrints,1994,32
CogPrints,1995,61
CogPrints,1996,41
CogPrints,1997,63
CogPrints,1998,70
CogPrints,1999,40
CogPrints,2000,61
CogPrints,2001,77
CogPrints,2002,100
CogPrints,2003,101
CogPrints,2004,87
CogPrints,2005,84
CogPrints,2006,68
CogPrints,2007,55
CogPrints,2008,76
CogPrints,2009,91
CogPrints,2010,95
CogPrints,2011,106
CogPrints,2012,64
CogPrints,2013,58
CogPrints,2014,41
CogPrints,2015,3
CogPrints,2016,1
CogPrints,2021,1
CogPrints,2023,1
Covid-19 Preprints,2020,121
Covid-19 Preprints,2021,31
Covid-19 Preprints,2022,48
Covid-19 Preprints,2023,34
Covid-19 Preprints,2024,32
Covid-19 Preprints,2025,27
CrimRxiv,1995,1
CrimRxiv,1998,1
CrimRxiv,2001,1
CrimRxiv,2003,1
CrimRxiv,2006,1
CrimRxiv,2007,1
CrimRxiv,2008,2
CrimRxiv,2009,2
CrimRxiv,2010,7
CrimRxiv,2011,4
CrimRxiv,2012,7
CrimRxiv,2013,6
CrimRxiv,2014,9
CrimRxiv,2015,10
CrimRxiv,2016,10
CrimRxiv,2017,27
CrimRxiv,2018,33
CrimRxiv,2019,61
CrimRxiv,2020,173
CrimRxiv,2021,371
CrimRxiv,2022,695
CrimRxiv,2023,323
CrimRxiv,2024,345
CrimRxiv,2025,484
CrossAsia-Repository,2022,16
CrossAsia-Repository,2023,22
CrossAsia-Repository,2024,332
CrossAsia-Repository,2025,90
DSpace@MIT,1990,66
DSpace@MIT,1991,82
DSpace@MIT,1992,59
DSpace@MIT,1993,69
DSpace@MIT,1994,64
DSpace@MIT,1995,84
DSpace@MIT,1996,84
DSpace@MIT,1997,95
DSpace@MIT,1998,87
DSpace@MIT,1999,79
DSpace@MIT,2000,85
DSpace@MIT,2001,124
DSpace@MIT,2002,259
DSpace@MIT,2003,260
DSpace@MIT,2004,254
DSpace@MIT,2005,278
