server_name,year,count_preprints,count_unique_clusters,count_versioned,count_published,count_cross_server,count_single_version,count_not_published,count_not_cross_server
AIJR Preprints,2020,71,71,5,0,5,66,71,66
AIJR Preprints,2021,25,25,1,0,1,24,25,24
AIJR Preprints,2022,19,19,0,0,0,19,19,19
AIJR Preprints,2023,16,16,0,0,0,16,16,16
AIJR Preprints,2024,6,6,1,0,1,5,6,5
AIJR Preprints,2025,4,4,0,0,0,4,4,4
AMRC Open Research,2019,7,7,4,0,0,3,7,7
AMRC Open Research,2020,6,6,3,0,0,3,6,6
AMRC Open Research,2021,13,13,4,0,0,9,13,13
AMRC Open Research,2022,1,1,0,0,0,1,1,1
APSA Preprints,2019,75,75,14,16,1,61,59,74
APSA Preprints,2020,264,264,40,35,14,224,229,250
APSA Preprints,2021,105,105,41,24,11,64,81,94
APSA Preprints,2022,180,180,35,31,11,145,149,169
APSA Preprints,2023,179,179,37,28,16,142,151,163
APSA Preprints,2024,136,136,32,16,7,104,120,129
APSA Preprints,2025,201,201,33,4,4,168,197,197
ARPHA Preprints,2020,15,15,0,10,0,15,5,15
ARPHA Preprints,2021,116,116,3,78,0,113,38,116
ARPHA Preprints,2022,154,154,8,95,2,146,59,152
ARPHA Preprints,2023,184,184,8,87,2,176,97,182
ARPHA Preprints,2024,178,178,4,28,0,174,150,178
ARPHA Preprints,2025,208,208,2,11,0,206,197,208
ART-Dok,2016,571,571,26,0,0,545,571,571
ART-Dok,2017,4774,4774,53,2,2,4721,4772,4772
ART-Dok,2018,673,673,6,0,0,667,673,673
ART-Dok,2019,478,478,2,0,0,476,478,478
ART-Dok,2020,457,457,1,0,0,456,457,457
ART-Dok,2021,455,455,3,0,0,452,455,455
ART-Dok,2022,427,427,2,0,0,425,427,427
ART-Dok,2023,647,647,3,0,0,644,647,647
ART-Dok,2024,562,562,2,0,0,560,562,562
ART-Dok,2025,485,485,5,0,0,480,485,485
Advance,2018,85,85,82,0,4,3,85,81
Advance,2019,304,304,294,17,11,10,287,293
Advance,2020,446,446,431,46,17,15,400,429
Advance,2021,376,376,368,39,20,8,337,356
Advance,2022,213,213,213,26,6,0,187,207
Advance,2023,198,198,189,10,6,9,188,192
Advance,2024,395,395,85,0,4,310,395,391
Advance,2025,321,321,24,0,6,297,321,315
AfricArXiv,2018,30,30,23,5,3,7,25,27
AfricArXiv,2019,56,56,48,7,2,8,49,54
AfricArXiv,2020,100,100,90,6,8,10,94,92
AfricArXiv,2021,100,100,89,11,5,11,89,95
AfricArXiv,2022,104,104,97,12,3,7,92,101
AfricArXiv,2023,58,58,50,6,7,8,52,51
AfricArXiv,2024,929,929,37,1,5,892,928,924
AfricArXiv,2025,206,206,6,1,2,200,205,204
AgEcon Search,2019,109399,109399,6142,14,142,103257,109385,109257
AgEcon Search,2020,8560,8560,456,2,66,8104,8558,8494
AgEcon Search,2021,7338,7338,341,3,80,6997,7335,7258
AgEcon Search,2022,7944,7944,323,0,65,7621,7944,7879
AgEcon Search,2023,3137,3137,117,1,35,3020,3136,3102
AgEcon Search,2024,7987,7987,197,0,22,7790,7987,7965
AgEcon Search,2025,8921,8921,448,0,1,8473,8921,8920
AgriRxiv,2017,31,31,19,1,19,12,30,12
AgriRxiv,2018,60,60,28,1,28,32,59,32
AgriRxiv,2019,177,177,32,7,28,145,170,149
AgriRxiv,2020,169,169,8,6,5,161,163,164
AgriRxiv,2021,85,85,2,0,2,83,85,83
AgriRxiv,2022,46,46,5,0,5,41,46,41
AgriRxiv,2023,55,55,4,2,3,51,53,52
AgriRxiv,2024,66,66,3,1,2,63,65,64
AgriRxiv,2025,90,90,6,2,6,84,88,84
Arabixiv,2018,143,143,80,30,80,63,113,63
Arabixiv,2019,237,237,11,171,2,226,66,235
Arabixiv,2020,91,91,2,12,2,89,79,89
Authorea Inc.,2015,1,1,0,0,0,1,1,1
Authorea Inc.,2017,1,1,0,0,0,1,1,1
Authorea Inc.,2018,1,1,1,0,0,0,1,1
Authorea Inc.,2019,1,1,0,0,0,1,1,1
Authorea Inc.,2020,8272,8272,596,52,211,7676,8220,8061
Authorea Inc.,2021,6799,6799,514,37,163,6285,6762,6636
Authorea Inc.,2022,8262,8262,621,57,238,7641,8205,8024
Authorea Inc.,2023,9103,9103,658,59,296,8445,9044,8807
Authorea Inc.,2024,13019,13019,602,49,193,12417,12970,12826
Authorea Inc.,2025,10848,10848,641,51,214,10207,10797,10634
Beilstein Archives,2019,161,161,1,85,1,160,76,160
Beilstein Archives,2020,145,145,2,84,2,143,61,143
Beilstein Archives,2021,92,92,1,55,1,91,37,91
Beilstein Archives,2022,92,92,1,77,1,91,15,91
Beilstein Archives,2023,68,68,2,57,2,66,11,66
Beilstein Archives,2024,72,72,0,56,0,72,16,72
Beilstein Archives,2025,65,65,1,46,1,64,19,64
Bepress Legal Repository,2010,1,1,1,0,1,0,1,0
Bepress Legal Repository,2011,3,3,1,0,0,2,3,3
Bepress Legal Repository,2018,1,1,0,0,0,1,1,1
BioHackrXiv,2020,10,10,0,0,0,10,10,10
BioHackrXiv,2021,11,11,1,0,1,10,11,10
BioHackrXiv,2022,10,10,0,0,0,10,10,10
BioHackrXiv,2023,29,29,0,0,0,29,29,29
BioHackrXiv,2024,35,35,0,0,0,35,35,35
BioHackrXiv,2025,41,41,3,0,0,38,41,41
BodoArXiv,2019,39,39,3,18,0,36,21,39
BodoArXiv,2020,29,29,3,12,2,26,17,27
BodoArXiv,2021,15,15,1,2,1,14,13,14
BodoArXiv,2022,26,26,0,6,0,26,20,26
BodoArXiv,2023,5,5,0,1,0,5,4,5
BodoArXiv,2024,9,9,1,2,0,8,7,9
BodoArXiv,2025,28,28,4,3,1,24,25,27
CERN document server,2015,2,2,2,2,1,0,0,1
CERN document server,2016,3,3,3,3,0,0,0,3
CERN document server,2017,1,1,1,1,0,0,0,1
CERN document server,2018,1,1,1,1,0,0,0,1
CERN document server,2019,1,1,1,1,0,0,0,1
CERN document server,2020,2,2,2,2,0,0,0,2
CERN document server,2021,2,2,2,2,0,0,0,2
CERN document server,2022,1,1,1,1,0,0,0,1
CERN document server,2023,34,34,33,34,0,1,0,34
CERN document server,2024,58,58,38,44,9,20,14,49
CERN document server,2025,339,339,307,306,12,32,33,327
Cambridge Open Engage,2020,215,215,46,14,19,169,201,196
Cambridge Open Engage,2021,268,268,51,16,20,217,252,248
Cambridge Open Engage,2022,202,202,75,19,20,127,183,182
Cambridge Open Engage,2023,221,221,72,22,19,149,199,202
Cambridge Open Engage,2024,397,397,90,24,19,307,373,378
Cambridge Open Engage,2025,590,590,129,15,14,461,575,576
ChemRxiv,2017,151,151,39,112,9,112,39,142
ChemRxiv,2018,872,872,254,745,31,618,127,841
ChemRxiv,2019,2282,2282,532,1941,50,1750,341,2232
ChemRxiv,2020,3824,3824,902,3098,69,2922,726,3755
ChemRxiv,2021,4032,4032,967,3299,80,3065,733,3952
ChemRxiv,2022,4677,4677,1156,3712,135,3521,965,4542
ChemRxiv,2023,5664,5664,1426,2142,165,4238,3522,5499
ChemRxiv,2024,6865,6865,1546,1258,97,5319,5607,6768
ChemRxiv,2025,7862,7862,1313,674,62,6549,7188,7800
CoP,2022,4,4,0,2,0,4,2,4
CoP,2023,9,9,0,2,0,9,7,9
CoP,2024,9,9,0,1,0,9,8,9
CoP,2025,7,7,1,0,0,6,7,7
CogPrints,1990,8,8,0,0,0,8,8,8
CogPrints,1991,15,15,0,0,0,15,15,15
CogPrints,1992,10,10,0,0,0,10,10,10
CogPrints,1993,25,25,0,0,0,25,25,25
CogPrints,1994,32,32,0,0,0,32,32,32
CogPrints,1995,61,61,1,0,1,60,61,60
CogPrints,1996,41,41,0,0,0,41,41,41
CogPrints,1997,63,63,1,0,1,62,63,62
CogPrints,1998,70,70,2,0,2,68,70,68
CogPrints,1999,40,40,0,0,0,40,40,40
CogPrints,2000,61,61,6,3,6,55,58,55
CogPrints,2001,77,77,2,0,1,75,77,76
CogPrints,2002,100,100,2,0,2,98,100,98
CogPrints,2003,101,101,2,0,2,99,101,99
CogPrints,2004,87,87,3,0,2,84,87,85
CogPrints,2005,84,84,2,0,2,82,84,82
CogPrints,2006,68,68,1,1,1,67,67,67
CogPrints,2007,55,55,2,0,2,53,55,53
CogPrints,2008,76,76,2,0,2,74,76,74
CogPrints,2009,91,91,8,1,8,83,90,83
CogPrints,2010,95,95,4,0,4,91,95,91
CogPrints,2011,106,106,1,0,1,105,106,105
CogPrints,2012,64,64,1,0,1,63,64,63
CogPrints,2013,58,58,0,0,0,58,58,58
CogPrints,2014,41,41,1,0,1,40,41,40
CogPrints,2015,3,3,0,0,0,3,3,3
CogPrints,2016,1,1,1,0,1,0,1,0
CogPrints,2021,1,1,0,0,0,1,1,1
CogPrints,2023,1,1,0,0,0,1,1,1
Covid-19 Preprints,2020,121,121,10,0,1,111,121,120
Covid-19 Preprints,2021,31,31,6,0,0,25,31,31
Covid-19 Preprints,2022,48,48,6,0,0,42,48,48
Covid-19 Preprints,2023,34,34,2,0,0,32,34,34
Covid-19 Preprints,2024,32,32,3,0,0,29,32,32
Covid-19 Preprints,2025,27,27,4,0,0,23,27,27
CrimRxiv,1995,1,1,0,0,0,1,1,1
CrimRxiv,1998,1,1,0,0,0,1,1,1
CrimRxiv,2001,1,1,0,0,0,1,1,1
CrimRxiv,2003,1,1,0,0,0,1,1,1
CrimRxiv,2006,1,1,0,0,0,1,1,1
CrimRxiv,2007,1,1,0,0,0,1,1,1
CrimRxiv,2008,2,2,0,0,0,2,2,2
CrimRxiv,2009,2,2,0,0,0,2,2,2
CrimRxiv,2010,7,7,0,0,0,7,7,7
CrimRxiv,2011,4,4,0,0,0,4,4,4
CrimRxiv,2012,7,7,0,0,0,7,7,7
CrimRxiv,2013,6,6,0,0,0,6,6,6
CrimRxiv,2014,9,9,0,0,0,9,9,9
CrimRxiv,2015,10,10,0,0,0,10,10,10
CrimRxiv,2016,10,10,0,0,0,10,10,10
CrimRxiv,2017,27,27,2,0,0,25,27,27
CrimRxiv,2018,33,33,0,0,0,33,33,33
CrimRxiv,2019,61,61,3,0,3,58,61,58
CrimRxiv,2020,173,173,15,0,5,158,173,168
CrimRxiv,2021,371,371,31,2,11,340,369,360
CrimRxiv,2022,695,695,30,0,2,665,695,693
CrimRxiv,2023,323,323,19,1,7,304,322,316
CrimRxiv,2024,345,345,14,0,5,331,345,340
CrimRxiv,2025,484,484,18,0,3,466,484,481
CrossAsia-Repository,2022,16,16,0,0,0,16,16,16
CrossAsia-Repository,2023,22,22,0,0,0,22,22,22
CrossAsia-Repository,2024,332,332,3,0,0,329,332,332
CrossAsia-Repository,2025,90,90,0,0,0,90,90,90
DSpace@MIT,1990,66,66,2,0,1,64,66,65
DSpace@MIT,1991,82,82,2,0,1,80,82,81
DSpace@MIT,1992,59,59,1,0,1,58,59,58
DSpace@MIT,1993,69,69,1,0,1,68,69,68
DSpace@MIT,1994,64,64,2,0,0,62,64,64
DSpace@MIT,1995,84,84,0,0,0,84,84,84
DSpace@MIT,1996,84,84,4,0,2,80,84,82
DSpace@MIT,1997,95,95,0,0,0,95,95,95
DSpace@MIT,1998,87,87,2,0,0,85,87,87
DSpace@MIT,1999,79,79,3,0,2,76,79,77
DSpace@MIT,2000,85,85,2,0,1,83,85,84
DSpace@MIT,2001,124,124,2,0,1,122,124,123
DSpace@MIT,2002,259,259,8,1,4,251,258,255
DSpace@MIT,2003,260,260,10,0,7,250,260,253
DSpace@MIT,2004,254,254,6,0,3,248,254,251
DSpace@MIT,2005,278,278,6,0,2,272,278,276
DSpace@MIT,2006,202,202,5,1,2,197,201,200
DSpace@MIT,2007,216,216,9,4,5,207,212,211
DSpace@MIT,2008,235,235,34,27,30,201,208,205
DSpace@MIT,2009,675,675,111,100,106,564,575,569
DSpace@MIT,2010,806,806,158,139,151,648,667,655
DSpace@MIT,2011,756,756,153,135,148,603,621,608
DSpace@MIT,2012,776,776,145,133,140,631,643,636
DSpace@MIT,2013,872,872,150,129,146,722,743,726
DSpace@MIT,2014,926,926,140,123,137,786,803,789
DSpace@MIT,2015,1073,1073,196,170,191,877,903,882
DSpace@MIT,2016,1106,1106,207,173,203,899,933,903
DSpace@MIT,2017,946,946,226,192,221,720,754,725
DSpace@MIT,2018,770,770,206,157,205,564,613,565
DSpace@MIT,2019,446,446,108,64,108,338,382,338
DSpace@MIT,2020,286,286,73,43,73,213,243,213
DSpace@MIT,2021,223,223,105,67,105,118,156,118
DSpace@MIT,2022,23,23,8,6,8,15,17,15
DSpace@MIT,2023,4,4,0,0,0,4,4,4
DSpace@MIT,2024,1,1,0,0,0,1,1,1
DSpace@MIT,2025,13,13,0,0,0,13,13,13
Digital Access to Scholarship at Harvard (DASH) (Harvard University),1990,62,62,1,0,0,61,62,62
Digital Access to Scholarship at Harvard (DASH) (Harvard University),1991,38,38,0,0,0,38,38,38
Digital Access to Scholarship at Harvard (DASH) (Harvard University),1992,36,36,0,0,0,36,36,36
